date,value
1979-01-01,23710
1979-02-01,20542
1979-03-01,26197
1979-04-01,24989
1979-05-01,28681
1979-06-01,26993
1979-07-01,28717
1979-08-01,30228
1979-09-01,29858
1979-10-01,30828
1979-11-01,31567
1979-12-01,32203
1980-01-01,24912
1980-02-01,22647
1980-03-01,25939
1980-04-01,24184
1980-05-01,27667
1980-06-01,27446
1980-07-01,28778
1980-08-01,28841
1980-09-01,28616
1980-10-01,31077
1980-11-01,28480
1980-12-01,28145
1981-01-01,23671
1981-02-01,22648
1981-03-01,26521
1981-04-01,24901
1981-05-01,27575
1981-06-01,26538
1981-07-01,29518
1981-08-01,28429
1981-09-01,30181
1981-10-01,31984
1981-11-01,29035
1981-12-01,23839
1982-01-01,21553
1982-02-01,22202
1982-03-01,26486
1982-04-01,25347
1982-05-01,27964
1982-06-01,28497
1982-07-01,29421
1982-08-01,30590
1982-09-01,29481
1982-10-01,31048
1982-11-01,31964
1982-12-01,29778
1983-01-01,23574
1983-02-01,19560
1983-03-01,24001
1983-04-01,24569
1983-05-01,25934
1983-06-01,26119
1983-07-01,28511
1983-08-01,26595
1983-09-01,27171
1983-10-01,28971
1983-11-01,26736
1983-12-01,26843
1984-01-01,23616
1984-02-01,21782
1984-03-01,23964
1984-04-01,24078
1984-05-01,27217
1984-06-01,27829
1984-07-01,28875
1984-08-01,27804
1984-09-01,28207
1984-10-01,30246
1984-11-01,31836
1984-12-01,28860
1985-01-01,21004
1985-02-01,19986
1985-03-01,24520
1985-04-01,23984
1985-05-01,26503
1985-06-01,27134
1985-07-01,29037
1985-08-01,29596
1985-09-01,27305
1985-10-01,29104
1985-11-01,32024
1985-12-01,27327
1986-01-01,24303
1986-02-01,20429
1986-03-01,25145
1986-04-01,24154
1986-05-01,28382
1986-06-01,25789
1986-07-01,28158
1986-08-01,28548
1986-09-01,25623
1986-10-01,30844
1986-11-01,30633
1986-12-01,29481
1987-01-01,18960
1987-02-01,20989
1987-03-01,23824
1987-04-01,23916
1987-05-01,26481
1987-06-01,27507
1987-07-01,28573
1987-08-01,28362
1987-09-01,27839
1987-10-01,30453
1987-11-01,27809
1987-12-01,26760
1988-01-01,26023
1988-02-01,23069
1988-03-01,25656
1988-04-01,23276
1988-05-01,27160
1988-06-01,25248
1988-07-01,29010
1988-08-01,27844
1988-09-01,28134
1988-10-01,30397
1988-11-01,30312
1988-12-01,26176
1989-01-01,26133
1989-02-01,25154
1989-03-01,26541
1989-04-01,26275
1989-05-01,28021
1989-06-01,29009
1989-07-01,29300
1989-08-01,29997
1989-09-01,28450
1989-10-01,32389
1989-11-01,31422
1989-12-01,28901
1990-01-01,28259
1990-02-01,26135
1990-03-01,26620
1990-04-01,27330
1990-05-01,28541
1990-06-01,28648
1990-07-01,29069
1990-08-01,28738
1990-09-01,29243
1990-10-01,30383
1990-11-01,30709
1990-12-01,27461
1991-01-01,26181
1991-02-01,19855
1991-03-01,24207
1991-04-01,24791
1991-05-01,24776
1991-06-01,28166
1991-07-01,27421
1991-08-01,27248
1991-09-01,27014
1991-10-01,26836
1991-11-01,29420
1991-12-01,25451
1992-01-01,25010
1992-02-01,21949
1992-03-01,24805
1992-04-01,24273
1992-05-01,26124
1992-06-01,25017
1992-07-01,26975
1992-08-01,27265
1992-09-01,25973
1992-10-01,27092
1992-11-01,28748
1992-12-01,27520
1993-01-01,23810
1993-02-01,20226
1993-03-01,23156
1993-04-01,24531
1993-05-01,26678
1993-06-01,25330
1993-07-01,27649
